N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
64.0,한화에어로스페이스,106300.0,200.0,-0.19%,5000.0,53820.0,50630.0,33.26,1713281.0,26.8,6.98,
65.0,F&F,136900.0,2200.0,+1.63%,100.0,52442.0,38307.0,12.51,152482.0,11.87,60.4,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
66.0,코스모신소재,170000.0,9400.0,-5.24%,1000.0,52106.0,30651.0,7.03,703370.0,186.61,12.13,
67.0,포스코인터내셔널,28950.0,1000.0,+3.58%,5000.0,50930.0,175923.0,5.02,1014444.0,6.06,15.79,
68.0,한온시스템,9500.0,350.0,+3.83%,100.0,50711.0,533800.0,16.43,1357857.0,250.0,0.89,
69.0,맥쿼리인프라,12450.0,20.0,-0.16%,0.0,50403.0,404846.0,13.84,445912.0,,,
70.0,삼성중공업,5710.0,0.0,0.00%,1000.0,50248.0,880000.0,16.07,3207592.0,-8.11,-16.08,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71.0,LG유플러스,11020.0,130.0,-1.17%,5000.0,48115.0,436611.0,38.97,670280.0,7.25,8.37,
72.0,현대제철,36050.0,1350.0,-3.61%,5000.0,48107.0,133446.0,24.82,538010.0,4.73,5.56,
73.0,TIGER CD금리투자KIS(합성),52250.0,5.0,+0.01%,0.0,47805.0,91492.0,0.0,80977.0,,,
74.0,두산밥캣,47500.0,900.0,+1.93%,500.0,47618.0,100249.0,34.91,227837.0,7.39,13.78,
75.0,HD현대,60100.0,100.0,+0.17%,1000.0,47475.0,78993.0,18.84,88528.0,3.37,20.43,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
76.0,CJ제일제당,314000.0,1500.0,-0.48%,5000.0,47270.0,15054.0,24.43,26967.0,8.63,9.26,
77.0,현대건설,40900.0,150.0,-0.37%,5000.0,45544.0,111356.0,24.88,705367.0,11.25,5.49,
78.0,한국타이어앤테크놀로지,35450.0,100.0,+0.28%,500.0,43914.0,123875.0,37.69,175992.0,6.36,8.14,
79.0,유한양행,56700.0,400.0,+0.71%,1000.0,43454.0,76639.0,20.04,121360.0,46.36,4.86,
80.0,미래에셋증권,6860.0,70.0,-1.01%,5000.0,41525.0,605316.0,13.06,514193.0,8.27,6.17,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
81.0,강원랜드,19170.0,140.0,-0.73%,500.0,41012.0,213940.0,17.95,384028.0,35.5,3.47,
82.0,금호석유,137700.0,0.0,0.00%,5000.0,40366.0,29314.0,21.3,78385.0,4.44,19.11,
83.0,SKC,105000.0,1900.0,-1.78%,5000.0,39762.0,37868.0,11.71,184369.0,-58.17,-3.67,
84.0,한미약품,314500.0,2500.0,+0.80%,2500.0,39508.0,12562.0,17.17,30813.0,47.72,9.89,
85.0,코웨이,52200.0,300.0,+0.58%,500.0,38523.0,73800.0,61.4,149225.0,8.41,21.72,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
86.0,현대로템,35150.0,1950.0,+5.87%,5000.0,38364.0,109142.0,14.46,17827033.0,19.4,14.06,
87.0,GS,39900.0,650.0,-1.60%,5000.0,37073.0,92915.0,25.01,116657.0,1.76,18.86,
88.0,금양,63600.0,1800.0,-2.75%,500.0,36920.0,58050.0,5.44,3350981.0,-115.85,-24.34,
89.0,메리츠증권,6100.0,0.0,0.00%,1000.0,36184.0,593181.0,14.58,0.0,5.11,15.26,
90.0,KODEX KOFR금리액티브(합성),102770.0,20.0,+0.02%,0.0,36126.0,35152.0,0.0,410311.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
91.0,현대차2우B,100000.0,0.0,0.00%,5000.0,36121.0,36121.0,63.07,50370.0,3.76,,
92.0,삼성카드,30300.0,100.0,-0.33%,5000.0,35105.0,115859.0,6.73,43658.0,5.64,8.08,
93.0,씨에스윈드,82300.0,1800.0,-2.14%,500.0,34707.0,42171.0,11.89,1154774.0,-3578.26,-0.11,
94.0,현대오토에버,124000.0,7100.0,+6.07%,500.0,34006.0,27424.0,3.54,147659.0,29.85,8.0,
95.0,현대해상,36350.0,200.0,-0.55%,500.0,32497.0,89400.0,37.81,190609.0,5.66,12.44,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
96.0,BGF리테일,181900.0,1200.0,-0.66%,1000.0,31439.0,17284.0,34.08,29424.0,16.24,21.85,
97.0,한국금융지주,56100.0,1300.0,-2.26%,5000.0,31262.0,55726.0,38.57,171013.0,5.43,8.45,
98.0,팬오션,5840.0,140.0,-2.34%,1000.0,31219.0,534570.0,15.01,1647328.0,4.61,16.74,
99.0,한진칼,46200.0,2250.0,+5.12%,2500.0,30844.0,66762.0,16.09,94182.0,4.55,33.64,
100.0,삼성증권,34500.0,400.0,-1.15%,5000.0,30808.0,89300.0,28.92,182725.0,7.29,6.88,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
101.0,한미사이언스,43900.0,400.0,+0.92%,500.0,30711.0,69957.0,0.84,138546.0,44.39,9.78,
102.0,호텔신라,78200.0,500.0,-0.64%,5000.0,30692.0,39248.0,19.9,352232.0,-62.36,-8.99,
103.0,NH투자증권,9200.0,110.0,-1.18%,5000.0,30513.0,331666.0,12.38,318448.0,10.43,4.32,
104.0,아모레G,37000.0,350.0,-0.94%,500.0,30510.0,82458.0,9.94,433935.0,57.1,1.87,
105.0,대우조선해양,28200.0,100.0,+0.36%,5000.0,30256.0,107291.0,3.97,520142.0,-1.73,-117.79,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
106.0,쌍용C&E,5990.0,40.0,-0.66%,100.0,30181.0,503860.0,2.76,581633.0,23.58,7.87,
107.0,LS,93000.0,300.0,+0.32%,5000.0,29946.0,32200.0,13.95,262005.0,6.63,12.0,
108.0,한전기술,77700.0,2300.0,-2.87%,200.0,29697.0,38220.0,3.59,284926.0,165.32,3.4,
109.0,롯데지주,28300.0,550.0,-1.91%,200.0,29689.0,104909.0,8.67,136838.0,17.53,2.42,
110.0,현대미포조선,73800.0,100.0,+0.14%,5000.0,29477.0,39942.0,20.6,375646.0,-66.13,-2.07,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
111.0,롯데에너지머티리얼즈,63500.0,600.0,-0.94%,500.0,29280.0,46111.0,7.95,222320.0,66.84,3.58,
112.0,LG화학우,380500.0,13000.0,-3.30%,5000.0,29256.0,7689.0,64.83,92734.0,16.14,,
113.0,OCI,120800.0,1600.0,+1.34%,5000.0,28810.0,23849.0,18.1,518412.0,3.27,25.21,
114.0,DB하이텍,63800.0,1500.0,-2.30%,5000.0,28326.0,44399.0,25.26,714050.0,5.08,40.73,
115.0,GS리테일,26900.0,400.0,-1.47%,1000.0,28169.0,104718.0,8.97,128145.0,69.69,1.0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
116.0,TIGER 차이나전기차SOLACTIVE,11050.0,175.0,-1.56%,0.0,27833.0,251880.0,0.18,4862749.0,,,
117.0,CJ,94900.0,13800.0,-12.70%,5000.0,27689.0,29177.0,19.13,2536341.0,16.75,3.94,
118.0,한화시스템,14640.0,190.0,+1.31%,5000.0,27658.0,188919.0,4.25,1000427.0,-36.15,-3.63,
119.0,이마트,98300.0,500.0,-0.51%,5000.0,27402.0,27876.0,31.49,58576.0,2.66,9.59,
120.0,키움증권,99900.0,4800.0,-4.58%,5000.0,26193.0,26220.0,25.4,82891.0,5.72,11.5,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
121.0,KODEX 종합채권(AA-이상)액티브,105955.0,175.0,+0.17%,0.0,25872.0,24418.0,0.03,11872.0,,,
122.0,한국가스공사,27200.0,900.0,-3.20%,5000.0,25109.0,92313.0,8.22,274565.0,1.68,15.67,
123.0,동원산업,50100.0,700.0,-1.38%,1000.0,25041.0,49983.0,2.72,25569.0,6.34,8.53,
124.0,한솔케미칼,220500.0,3500.0,-1.56%,5000.0,24994.0,11335.0,40.77,31140.0,16.11,21.36,
125.0,KODEX 200선물인버스2X,2700.0,40.0,+1.50%,0.0,24524.0,908300.0,1.23,93206652.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
126.0,농심,387500.0,6500.0,+1.71%,5000.0,23570.0,6083.0,16.43,16456.0,20.3,5.17,
127.0,현대차우,97000.0,500.0,+0.52%,5000.0,23390.0,24113.0,59.95,34507.0,3.65,,
128.0,HL만도,49000.0,2150.0,+4.59%,1000.0,23009.0,46957.0,22.87,731396.0,23.41,4.78,
129.0,롯데쇼핑,80800.0,900.0,-1.10%,5000.0,22857.0,28289.0,11.84,40770.0,-7.04,-3.3,
130.0,TIGER 미국나스닥100,77315.0,55.0,+0.07%,0.0,22445.0,29030.0,0.22,104144.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
131.0,코스모화학,63800.0,2500.0,-3.77%,1000.0,22335.0,35008.0,8.58,1351280.0,190.45,6.13,
132.0,에스디바이오센서,21250.0,400.0,-1.85%,500.0,22196.0,104452.0,14.46,473962.0,2.41,35.3,
133.0,한화,29250.0,650.0,+2.27%,5000.0,21925.0,74959.0,17.32,786279.0,2.18,24.47,
134.0,BNK금융지주,6700.0,100.0,-1.47%,5000.0,21838.0,325935.0,35.59,847678.0,2.7,8.43,
135.0,휠라홀딩스,35900.0,700.0,-1.91%,1000.0,21810.0,60752.0,45.77,233951.0,6.34,19.71,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
136.0,제일기획,18890.0,260.0,-1.36%,200.0,21731.0,115041.0,32.72,442731.0,11.22,16.64,
137.0,에스원,57000.0,600.0,-1.04%,500.0,21660.0,37999.0,54.46,42530.0,14.34,10.19,
138.0,두산퓨얼셀,33000.0,350.0,-1.05%,100.0,21613.0,65494.0,16.23,353428.0,702.13,0.74,
139.0,한화생명,2415.0,50.0,-2.03%,5000.0,20975.0,868530.0,8.03,1016211.0,2.86,9.05,
